Ime,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jani,33,36,32,20,23,26,17,18,8,11,8,-,9,11,10,6,6,8,9,9,6,9,5,6
Janko,14,12,9,-,-,-,6,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jasmin,22,10,10,7,15,14,11,8,7,10,-,-,5,-,-,-,6,6,5,-,-,-,-,-
Ja�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,5,6,12,5,8,-,10,10
Ja�a,14,8,-,10,10,11,12,18,16,18,17,24,35,22,45,51,45,57,47,34,47,52,45,44
Jernej,157,134,128,112,144,113,99,81,78,73,77,54,61,52,60,53,50,55,45,44,31,29,34,29
Job,-,-,-,-,-,-,-,-,5,-,-,-,5,-,-,-,5,5,-,-,-,-,-,-
Jon,-,-,-,-,13,12,16,14,12,13,16,20,25,15,26,36,34,42,37,39,36,28,34,40
Jona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,5
Jonas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,9,8,-,9,6,7
Jonatan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,6,8,-,8,11,-,6
Josip,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jo�t,11,9,12,11,19,16,20,19,21,26,21,19,26,24,23,19,38,45,39,24,26,24,27,26
Jovan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
Jo�e,35,34,18,25,21,19,15,10,8,8,8,5,9,8,5,-,-,6,6,-,7,-,-,5
Jo�ef,6,8,-,-,7,8,-,-,-,5,-,8,-,-,-,-,-,-,-,-,-,-,-,-
Julian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,8,6,10,8,12
Julij,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,6,-,5,7
Julijan,-,-,7,-,-,-,-,5,-,7,7,7,-,7,-,-,8,7,12,13,15,11,8,11
Jure,190,196,219,200,173,160,139,156,139,133,124,117,121,112,103,112,130,133,108,121,78,73,72,80
Jurij,15,18,16,8,15,23,17,25,19,28,21,17,33,25,26,33,36,40,35,36,52,40,39,27
Ju�,6,10,6,-,8,7,-,14,13,11,8,10,11,15,14,20,12,8,16,11,20,9,7,11
Kaan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-
Kai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,9,5,10,-,9,9
Kajetan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,-,-
Kan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,6,-
Karlo,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,5,-,-,-,-,-,-,6
